Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,molecule,begin,end,strand,id,locus,description,,
BAF66304.1,44.63285733,-0.457374285,0.344277928,-1.328503072,0.184011969,0.541748704,AP009351.1,44597,45817,-,NWMN_0032,NWMN_0032,conserved hypothetical protein,,
BAF66305.1,13.79358228,0.382464343,0.579110009,0.660434697,0.508974912,0.829302813,AP009351.1,45582,45884,+,NWMN_0033,NWMN_0033,hypothetical protein,,
BAF66306.1,27.03496347,-0.749705315,0.357843098,-2.095067137,0.036165025,0.220809826,AP009351.1,45810,46295,-,NWMN_0034,NWMN_0034,conserved hypothetical protein,,
BAF66307.1,155.1475182,0.02265338,0.293091863,0.077291058,0.938392004,0.982297025,AP009351.1,46473,47333,+,NWMN_0035,NWMN_0035,LysR family regulatory protein,,
BAF66308.1,26.09260581,-0.294129892,0.430121055,-0.683830491,0.49408221,0.82037937,AP009351.1,47688,48221,-,NWMN_0036,NWMN_0036,conserved hypothetical protein,,
BAF66309.1,31.90124135,0.055188299,0.425966333,0.129560236,0.896914365,0.97126996,AP009351.1,48312,49055,+,NWMN_0037,NWMN_0037,conserved hypothetical protein,,
BAF66310.1,140.8819858,-0.00620927,0.282446838,-0.021983855,0.982460834,0.994392077,AP009351.1,49489,50091,+,NWMN_0038,NWMN_0038,conserved hypothetical protein,,
BAF66311.1,172.7743084,-0.123684262,0.238239528,-0.519159279,0.603649673,0.87312658,AP009351.1,50358,53510,+,NWMN_0039,NWMN_0039,conserved hypothetical protein,,
BAF66312.1,78.95943196,-0.350534498,0.243122522,-1.44180183,0.149358287,0.493212308,AP009351.1,53567,54049,+,NWMN_0040,NWMN_0040,conserved hypothetical protein,,
BAF66313.1,53.13840668,0.131187161,0.241437782,0.543358042,0.586883309,0.863559139,AP009351.1,54254,55240,+,NWMN_0041,NWMN_0041,conserved hypothetical protein,,
BAF66314.1,0.968431658,0.104974493,0.985975489,0.10646765,0.915211321,NA,AP009351.1,55461,56231,+,NWMN_0042,NWMN_0042,conserved hypothetical protein,,
BAF66315.1,1.172513633,0.360074624,0.968271129,0.371873759,0.709986844,NA,AP009351.1,56283,57053,+,NWMN_0043,NWMN_0043,conserved hypothetical protein,,
BAF66316.1,2.965051503,-0.474686532,0.78809196,-0.602323785,0.546958632,NA,AP009351.1,57117,57887,+,NWMN_0044,NWMN_0044,conserved hypothetical protein,,
BAF66317.1,5.483187458,-0.031775779,0.601283625,-0.052846573,0.957854154,NA,AP009351.1,57954,58721,+,NWMN_0045,NWMN_0045,conserved hypothetical protein,,
BAF66318.1,337.4942176,-0.104410004,0.278815645,-0.374476847,0.708049579,0.917685854,AP009351.1,58815,61052,+,NWMN_0046,NWMN_0046,conserved hypothetical protein,,
BAF66319.1,254.1720422,-0.529965866,0.252465092,-2.099164924,0.035802365,0.219334894,AP009351.1,61194,62381,+,NWMN_0047,NWMN_0047,conserved hypothetical protein,,
BAF66320.1,306.2375508,-0.062669585,0.251076514,-0.249603535,0.802893964,0.945230361,AP009351.1,62383,63771,+,NWMN_0048,NWMN_0048,conserved hypothetical protein,,
BAF66321.1,989.4601765,-0.769456017,0.31763477,-2.422455248,0.015416024,0.127504835,AP009351.1,64264,65931,-,NWMN_0049,NWMN_0049,conserved hypothetical protein,,
BAF66322.1,124.2811755,0.022790353,0.264551089,0.086147267,0.93134935,0.980359725,AP009351.1,66251,68026,-,NWMN_0050,NWMN_0050,67 kDa Myosin-crossreactive streptococcal antigen homolog,,
BAF66323.1,6.093862321,1.010337053,0.579619794,1.743103088,0.081315609,NA,AP009351.1,68200,69072,-,NWMN_0051,NWMN_0051,conserved hypothetical protein,,
BAF66324.1,38.81091912,0.52773353,0.326992212,1.613902446,0.106548588,0.418320035,AP009351.1,69185,70582,+,NWMN_0052,NWMN_0052,transcriptional regulator GntR family protein,,
BAF66325.1,80.12095375,-0.230020831,0.290259213,-0.792466941,0.42808846,0.782164093,AP009351.1,70772,71245,+,NWMN_0053,NWMN_0053,conserved hypothetical protein,,
BAF66326.1,1122.264992,-0.215951741,0.349590995,-0.617726842,0.536755415,0.839104985,AP009351.1,71507,73099,+,lctP,NWMN_0054,L-lactate permease,,
BAF66327.1,3325.396556,-0.414541698,0.182543619,-2.270918593,0.023151906,0.166853395,AP009351.1,73428,74990,-,spa,NWMN_0055,immunoglobulin G binding protein A precursor %28protein A%29,,
BAF66328.1,1991.289453,-0.805309644,0.188598673,-4.269964525,1.96E-05,0.000586944,AP009351.1,75375,76151,-,sarH1,NWMN_0056,staphylococcal accessory regulator A homolog,,
BAF66329.1,527.7239724,-0.390981115,0.415495801,-0.940998956,0.346705394,0.724335683,AP009351.1,76496,77494,-,sirC,NWMN_0057,siderophore compound ABC transporter permease protein SirC,,
BAF66330.1,135.8342512,-0.926444523,0.299156665,-3.096854031,0.001955862,0.027112632,AP009351.1,77491,78486,-,sirB,NWMN_0058,siderophore compound ABC transporter permease protein SirB,,
BAF66331.1,312.2108176,-1.030965733,0.193082127,-5.339519252,9.32E-08,4.69E-06,AP009351.1,78502,79494,-,sirA,NWMN_0059,siderophore compound ABC transporter binding protein,,
BAF66332.1,19.39475134,-0.218466425,0.538220432,-0.405905111,0.684812322,0.908451381,AP009351.1,79725,80705,+,sbnA,NWMN_0060,O-Acetyl serine sulfhydrylase,,
BAF66333.1,14.30525019,-0.864850708,0.571986019,-1.51201372,0.130530372,0.457909647,AP009351.1,80702,81712,+,sbnB,NWMN_0061,ornithine cyclodeaminase,,
BAF66334.1,19.89719373,-0.461686998,0.408236837,-1.130929295,0.258084852,0.639900368,AP009351.1,81733,83487,+,sbnC,NWMN_0062,siderophore biosynthesis IucC family protein,,
BAF66335.1,24.45073086,-0.917607187,0.376345591,-2.43820363,0.014760457,0.123778274,AP009351.1,83480,84736,+,sbnD,NWMN_0063,membrane transporter protein,,
BAF66336.1,31.41764811,-0.580148072,0.423303348,-1.370525594,0.170522892,0.524403731,AP009351.1,84726,86462,+,sbnE,NWMN_0064,siderophore biosynthesis IucA family protein,,
BAF66337.1,27.61025966,-0.96600978,0.50835217,-1.900276692,0.057396818,0.291490011,AP009351.1,86371,88221,+,sbnF,NWMN_0065,siderophore biosynthesis IucC family protein,,
BAF66338.1,37.74517178,-0.710751204,0.439826642,-1.615980337,0.106098565,0.418085279,AP009351.1,88193,88972,+,sbnG,NWMN_0066,2-dehydro-3-deoxyglucarate aldolase,,
BAF66339.1,92.70509472,-0.979005951,0.304395811,-3.216226753,0.001298882,0.019715426,AP009351.1,88972,90174,+,sbnH,NWMN_0067,diaminopimelate decarboxylase,,
BAF66340.1,84.72881221,-0.493632011,0.248154667,-1.989211068,0.046677911,0.259885007,AP009351.1,90178,90942,+,sbnI,NWMN_0068,SbnI protein,,
BAF66341.1,24.88641977,0.374023318,0.379103664,0.986599059,0.323839232,0.70489206,AP009351.1,91138,91545,+,NWMN_0069,NWMN_0069,conserved hypothetical protein,,
BAF66342.1,15.27428434,0.885823074,0.433681369,2.042566586,0.041095362,0.239227097,AP009351.1,91595,92221,+,NWMN_0070,NWMN_0070,conserved hypothetical protein,,
BAF66343.1,2462.46437,1.046059171,0.413097519,2.532233004,0.011333865,0.102647036,AP009351.1,92433,93209,+,NWMN_0071,NWMN_0071,glucose%2Fribitol dehydrogenase,,
BAF66344.1,6.607508522,0.130251968,0.553281129,0.235417334,0.813884834,NA,AP009351.1,93566,94525,+,NWMN_0072,NWMN_0072,NAD dependent epimerase%2Fdehydratase family protein,,
BAF66345.1,3.530918912,0.224458353,0.744840933,0.301350722,0.763147067,NA,AP009351.1,94488,95180,+,NWMN_0073,NWMN_0073,conserved hypothetical protein,,
BAF66346.1,12.34428543,0.391994554,0.462781387,0.847040449,0.396972576,0.758564783,AP009351.1,95390,96556,+,NWMN_0074,NWMN_0074,glycosyl transferase%2C group 1 family protein,,
BAF66347.1,33.23735949,0.232211942,0.297453672,0.78066591,0.434999016,0.787403281,AP009351.1,96537,97775,+,NWMN_0075,NWMN_0075,conserved hypothetical protein,,
BAF66348.1,186.7595903,-0.105569558,0.2652883,-0.397942758,0.690672381,0.910494233,AP009351.1,97765,99195,+,NWMN_0076,NWMN_0076,polysaccharide extrusion protein,,
BAF66349.1,1205.663585,-0.124091146,0.352149317,-0.352382184,0.724551661,0.924228574,AP009351.1,99463,100062,+,sodM,NWMN_0077,superoxide dismutase,,
BAF66350.1,794.0228789,0.226969368,0.294077869,0.771800234,0.440232753,0.792389792,AP009351.1,100430,101155,+,NWMN_0078,NWMN_0078,conserved hypothetical protein,,
BAF66351.1,206.3077959,-0.080497403,0.238846637,-0.337025482,0.736097691,0.926773598,AP009351.1,101347,102102,-,NWMN_0079,NWMN_0079,conserved hypothetical protein,,
BAF66352.1,12.21127486,-0.273916316,0.49696117,-0.551182533,0.581508553,0.861585291,AP009351.1,102338,103045,+,pnp,NWMN_0080,purine nucleoside phosphorylase,,
BAF66353.1,192.225193,-0.110144475,0.293781445,-0.374919782,0.707720126,0.917685854,AP009351.1,103052,104404,+,NWMN_0081,NWMN_0081,conserved hypothetical protein,,
BAF66354.1,895.1325823,0.122281551,0.329523851,0.371085586,0.710573787,0.918517576,AP009351.1,104485,105147,+,dra,NWMN_0082,deoxyribose-phosphate aldolase,,
BAF66355.1,1911.377788,0.097160102,0.180377966,0.538647283,0.590130255,0.865758047,AP009351.1,105175,106353,+,NWMN_0083,NWMN_0083,phosphopentomutase,,
BAF66356.1,25.2423569,0.045685961,0.493160456,0.09263914,0.926190248,0.97973872,AP009351.1,106484,107299,-,NWMN_0084,NWMN_0084,phosphonates ABC transporter permease,,
BAF66357.1,7.9737237,-0.099299452,0.512689437,-0.193683437,0.846423762,NA,AP009351.1,107296,108096,-,NWMN_0085,NWMN_0085,phosphonates ABC transporter permease,,
BAF66358.1,7.645158828,-0.547337574,0.542144334,-1.009579073,0.312697,NA,AP009351.1,108098,108871,-,NWMN_0086,NWMN_0086,ABC transport ATP-binding protein,,
BAF66359.1,30.19862419,-0.52583841,0.463999886,-1.133272714,0.257099747,0.63947179,AP009351.1,110270,111814,+,NWMN_0087,NWMN_0087,conserved hypothetical protein,,
BAF66360.1,207.6913887,-0.201191553,0.259838501,-0.77429462,0.438756584,0.790943923,AP009351.1,111859,113400,+,NWMN_0088,NWMN_0088,conserved hypothetical protein,,
BAF66361.1,3.650410426,0.268751815,0.755762448,0.355603557,0.72213748,NA,AP009351.1,113484,113687,+,NWMN_0089,NWMN_0089,conserved hypothetical protein,,
BAF66362.1,7.297710648,-0.185797072,0.592161657,-0.313760727,0.753702774,NA,AP009351.1,114000,114545,+,NWMN_0090,NWMN_0090,conserved hypothetical protein,,
BAF66363.1,10.5328176,-0.152871132,0.485326154,-0.314986388,0.752771989,NA,AP009351.1,114530,114820,+,NWMN_0091,NWMN_0091,conserved hypothetical protein,,
BAF66364.1,3.563785374,0.548158345,0.777348924,0.70516383,0.480708287,NA,AP009351.1,114976,115191,+,NWMN_0092,NWMN_0092,conserved hypothetical protein,,
BAF66365.1,64.70307811,-0.130530674,0.449055494,-0.290678269,0.771297393,0.936953441,AP009351.1,115844,116065,+,NWMN_0093,NWMN_0093,truncated IS200 transposase family protein,,
BAF66366.1,199.8576447,0.159270109,0.233265153,0.682785693,0.494742271,0.82037937,AP009351.1,116515,119124,+,adhE,NWMN_0094,iron-containing alcohol dehydrogenase,,
BAF66367.1,1.516888116,0.715886046,0.942445761,0.759604505,0.447491026,NA,AP009351.1,119469,120137,+,capA,NWMN_0095,capsular polysaccharide synthesis enzyme CapA,,
BAF66368.1,3.239515606,-0.172173292,0.786306484,-0.218964609,0.826677617,NA,AP009351.1,120144,120839,+,capB,NWMN_0096,capsular polysaccharide synthesis enzyme CapB,,
BAF66369.1,2.28066227,0.841872502,0.911943278,0.92316323,0.355922148,NA,AP009351.1,120842,121606,+,capC,NWMN_0097,capsular polysaccharide synthesis enzyme CapC,,
BAF66370.1,7.806834558,0.314800896,0.608593897,0.51725937,0.604975112,NA,AP009351.1,121614,123449,+,capD,NWMN_0098,polysaccharide biosynthesis protein CapD,,
BAF66371.1,4.4929381,0.898031288,0.73449764,1.222646935,0.221463078,NA,AP009351.1,123439,124467,+,capE,NWMN_0099,capsular polysaccharide biosynthesis protein CapE,,
BAF66372.1,5.383704181,1.56731435,0.708142755,2.213274568,0.026878722,NA,AP009351.1,124480,125589,+,capF,NWMN_0100,capsular polysaccharide synthesis enzyme CapF,,
BAF66373.1,5.724583562,0.333265645,0.646037602,0.515861064,0.60595145,NA,AP009351.1,125593,126717,+,capG,NWMN_0101,capsular polysaccharide synthesis enzyme CapG,,
BAF66374.1,3.787656365,0.483050326,0.784649129,0.615625899,0.538141454,NA,AP009351.1,126720,127346,+,capH,NWMN_0102,capsular polysaccharide synthesis enzyme O-acetyl transferase CapH,,
BAF66375.1,10.2537929,0.01534428,0.524439755,0.029258422,0.976658487,NA,AP009351.1,127351,128460,+,capI,NWMN_0103,capsular polysaccharide biosynthesis protein CapI,,
BAF66376.1,18.28314743,-0.03508532,0.424179114,-0.082713454,0.934079387,0.981229954,AP009351.1,128474,129640,+,capJ,NWMN_0104,capsular polysaccharide biosynthesis protein CapJ,,
BAF66377.1,13.53430238,-0.437715832,0.50441179,-0.867774783,0.385517637,0.752074126,AP009351.1,129654,130838,+,capK,NWMN_0105,capsular polysaccharide biosynthesis protein CapK,,
BAF66378.1,28.99316764,-0.135415839,0.482725768,-0.280523327,0.779076031,0.938233426,AP009351.1,130839,132044,+,capL,NWMN_0106,capsular polysaccharide biosynthesis protein glycosyltransferase CapL,,
BAF66379.1,18.52462002,0.020265508,0.48416329,0.041856763,0.966612884,0.990117703,AP009351.1,132055,132612,+,capM,NWMN_0107,capsular polysaccharide biosynthesis protein CapM,,
BAF66380.1,21.8513808,0.189052508,0.472130014,0.400424676,0.688843752,0.910122635,AP009351.1,132612,133499,+,capN,NWMN_0108,capsular polysaccharide biosynthesis protein CapN,,
BAF66381.1,44.59408047,0.06871391,0.445260499,0.154322942,0.877355109,0.967718456,AP009351.1,133553,134815,+,capO,NWMN_0109,capsular polysaccharide biosynthesis protein CapO,,
BAF66382.1,113.6608907,-0.388702788,0.216179696,-1.79805409,0.072168437,0.330660442,AP009351.1,134862,136037,+,capP,NWMN_0110,capsular polysaccharide biosynthesis protein CapP,,
BAF66383.1,86.22566196,-0.787907404,0.339767246,-2.318962214,0.020397085,0.154838083,AP009351.1,136102,136428,-,NWMN_0111,NWMN_0111,conserved hypothetical protein,,
BAF66384.1,174.2913354,-0.770703157,0.279696845,-2.755494641,0.005860346,0.063429958,AP009351.1,136435,136818,-,NWMN_0112,NWMN_0112,conserved hypothetical protein,,
BAF66385.1,812.9224341,2.253383251,0.272805136,8.26004703,1.46E-16,1.93E-14,AP009351.1,137245,138732,+,aldA,NWMN_0113,aldehyde dehydrogenase homolog,,
BAF66386.1,218.3445382,-0.429008827,0.217031812,-1.976709419,0.048074486,0.265484506,AP009351.1,139273,140337,+,NWMN_0114,NWMN_0114,cation efflux family protein,,
BAF66387.1,818.4558994,-4.076109512,0.228498643,-17.83865962,3.54E-71,9.62E-68,AP009351.1,140781,141293,+,NWMN_0115,NWMN_0115,conserved hypothetical protein,,
BAF66388.1,58.95477247,-5.088663016,0.603188719,-8.436270198,3.28E-17,4.56E-15,AP009351.1,141635,142375,+,NWMN_0116,NWMN_0116,conserved hypothetical protein,,
BAF66389.1,48.62862295,-3.518064245,0.422171469,-8.333259119,7.86E-17,1.07E-14,AP009351.1,142389,143363,+,NWMN_0117,NWMN_0117,conserved hypothetical protein,,
BAF66390.1,97.31559031,-3.704440133,0.361249158,-10.25452946,1.13E-24,2.67E-22,AP009351.1,143360,144121,+,NWMN_0118,NWMN_0118,conserved hypothetical protein,,
BAF66391.1,125.4955343,-3.778351014,0.367280602,-10.28736881,8.03E-25,2.08E-22,AP009351.1,144134,145165,+,NWMN_0119,NWMN_0119,conserved hypothetical protein,,
BAF66392.1,635.5745749,-0.560111937,0.351826451,-1.592012014,0.111382005,0.424438861,AP009351.1,145382,145741,+,NWMN_0120,NWMN_0120,conserved hypothetical protein,,
BAF66393.1,41.2245248,-0.235373818,0.293728972,-0.801329934,0.422940666,0.780128845,AP009351.1,145914,146939,+,NWMN_0121,NWMN_0121,D-isomer specific 2-hydroxyacid dehydrogenase,,
BAF66394.1,150.8207533,0.221131659,0.279381704,0.791503723,0.428650105,0.782164093,AP009351.1,147325,148575,+,NWMN_0122,NWMN_0122,conserved hypothetical protein,,
BAF66395.1,1691.119212,0.998156437,0.371873637,2.68412799,0.007271926,0.074417414,AP009351.1,149028,156197,+,NWMN_0123,NWMN_0123,conserved hypothetical protein,,
BAF66396.1,283.7235693,0.9405508,0.1990027,4.726321805,2.29E-06,8.81E-05,AP009351.1,156210,156854,+,NWMN_0124,NWMN_0124,4%27-phosphopantetheinyl transferase superfamily protein,,
BAF66397.1,306.8866153,-0.239592828,0.325391383,-0.736321982,0.461534771,0.801682934,AP009351.1,157182,157676,-,NWMN_0125,NWMN_0125,conserved hypothetical protein,,
BAF66398.1,42.67100968,-0.298974684,0.313185695,-0.954624329,0.339767709,0.719503925,AP009351.1,157931,158695,-,NWMN_0126,NWMN_0126,acetylglutamate kinase,,
BAF66399.1,49.24019618,-0.330315638,0.318737319,-1.036325585,0.300050274,0.680610943,AP009351.1,158711,159952,-,argJ,NWMN_0127,arginine biosynthesis bifunctional protein,,
BAF66400.1,29.13089219,-0.294136133,0.328752421,-0.894704082,0.370945296,0.745733163,AP009351.1,159964,160998,-,argC,NWMN_0128,N-acetyl-gamma-glutamyl-phosphate reductase,,
BAF66401.1,30.08012013,-0.491549651,0.321038331,-1.531124491,0.125738628,0.447343186,AP009351.1,161034,162218,-,argD,NWMN_0129,ornithine aminotransferase,,
BAF66402.1,511.3355323,-0.053015285,0.341622117,-0.155186923,0.876673957,0.967474875,AP009351.1,162471,163826,-,NWMN_0130,NWMN_0130,branched-chain amino acid transport system II carrier protein,,
BAF66403.1,182.0580704,0.97361271,0.26752193,3.639375322,0.0002733,0.005473424,AP009351.1,164102,164659,-,entB,NWMN_0131,isochorismatase,,
BAF66404.1,462.998124,1.010749728,0.269976927,3.74383744,0.000181231,0.003979621,AP009351.1,164726,166366,-,ipdC,NWMN_0132,indole-3-pyruvate decarboxylase,,
BAF66405.1,4911.060375,0.005560183,0.283413764,0.019618605,0.984347622,0.994392077,AP009351.1,166640,168685,-,glcA,NWMN_0133,glucose-specific PTS transporter protein IIABC component,,
BAF66406.1,43.85304979,2.148230232,0.370804669,5.793428209,6.90E-09,4.26E-07,AP009351.1,169253,170326,+,NWMN_0134,NWMN_0134,conserved hypothetical protein,,
BAF66407.1,48.74680013,1.113053813,0.519015974,2.144546353,0.031989136,0.204745539,AP009351.1,170323,171222,+,NWMN_0135,NWMN_0135,conserved hypothetical protein,,
BAF66408.1,206.2090565,0.310411315,0.245381365,1.265015844,0.205865648,0.572504572,AP009351.1,171234,172688,+,NWMN_0136,NWMN_0136,sucrose-specific PTS transporter IIBC component protein,,
BAF66409.1,134.0963447,0.227751498,0.262759739,0.866767104,0.38606963,0.752074126,AP009351.1,172688,173566,+,NWMN_0137,NWMN_0137,RpiR family transcriptional regulator,,
BAF66410.1,7.796470215,0.300526499,0.522265641,0.575428432,0.56500158,NA,AP009351.1,173760,174041,-,NWMN_0138,NWMN_0138,conserved hypothetical protein,,
BAF66411.1,332.9046788,-0.450754932,0.237443687,-1.898365625,0.057647935,0.292315807,AP009351.1,174254,177043,+,hsdR,NWMN_0139,type-I restriction-modification system restriction endonuclease subunit,,
BAF66412.1,174.4768404,0.170875805,0.223028013,0.76616297,0.443579339,0.794856477,AP009351.1,177248,178090,+,NWMN_0140,NWMN_0140,conserved hypothetical protein,,
BAF66413.1,71.56013997,0.30921812,0.289239381,1.06907337,0.28503661,0.668488968,AP009351.1,178092,179015,+,NWMN_0141,NWMN_0141,conserved hypothetical protein,,
BAF66414.1,116.3384032,0.295306624,0.238423792,1.238578675,0.21550157,0.588164505,AP009351.1,179002,180114,+,NWMN_0142,NWMN_0142,conserved hypothetical protein,,
BAF66415.1,461.5952564,-3.570150352,0.267727862,-13.33499745,1.45E-40,8.75E-38,AP009351.1,180379,181971,-,NWMN_0143,NWMN_0143,oligopeptide ABC transporter%2C ATP-binding protein,,
BAF66416.1,30.29280564,-3.234364737,0.406824489,-7.950270512,1.86E-15,2.15E-13,AP009351.1,181928,183406,+,NWMN_0144,NWMN_0144,oligopeptide ABC transporter%2C permease protein,,
BAF66417.1,18.27782492,-3.555166651,0.567619718,-6.263289554,3.77E-10,2.81E-08,AP009351.1,183412,184575,+,NWMN_0145,NWMN_0145,peptide ABC transporter%2C permease protein,,
BAF66418.1,36.01343311,-2.574854373,0.357932331,-7.193690394,6.31E-13,5.79E-11,AP009351.1,184592,186367,+,rlp,NWMN_0146,RGD-containing lipoprotein,,
BAF66419.1,197.5177971,-0.834407457,0.250751668,-3.327624752,0.000875898,0.0140402,AP009351.1,186405,188411,+,NWMN_0147,NWMN_0147,conserved hypothetical protein,,
BAF66420.1,117.647449,-0.708390403,0.320111718,-2.212947431,0.02690127,0.182362649,AP009351.1,188709,189482,-,NWMN_0148,NWMN_0148,conserved hypothetical protein,,
BAF66421.1,3551.825497,-1.30226204,0.414715577,-3.140132927,0.001688712,0.024212297,AP009351.1,189672,190370,-,NWMN_0149,NWMN_0149,acyl carrier protein phosphodiesterase,,
BAF66422.1,471.8727344,0.427262033,0.417671344,1.022962287,0.306325678,0.686198931,AP009351.1,190507,191085,+,NWMN_0150,NWMN_0150,conserved hypothetical protein,,
BAF66423.1,60.27508102,3.106869059,0.389724853,7.971955173,1.56E-15,1.85E-13,AP009351.1,191468,192565,+,NWMN_0151,NWMN_0151,conserved hypothetical protein,,
BAF66424.1,65.30394946,0.984585463,0.489462544,2.01156447,0.044265868,0.251086353,AP009351.1,192578,193849,+,NWMN_0152,NWMN_0152,conserved hypothetical protein,,
BAF66425.1,80.77227842,0.767379821,0.30184251,2.542318575,0.011011975,0.100401131,AP009351.1,193852,195120,+,NWMN_0153,NWMN_0153,conserved hypothetical protein,,
