locus,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,significant,Column1,Column2,Column3,Column4,Column5
NWMN_0047,1864.118485,3115.848429,612.3885412,0.196539901,-2.347105862,3.65E-06,5.15E-05,yes,hypothetical protein / Metal-dependent amidase/aminoacylase/carboxypeptidase [General function prediction only],,,,
NWMN_0048,2821.600568,4710.229984,932.971153,0.198073376,-2.335893124,7.93E-06,0.000102059,yes,"hypothetical protein  / The Major Facilitator Superfamily (MFS) is a large and diverse group of secondary transporters that includes uniporters, symporters, and antiporters. MFS proteins facilitate the transport across cytoplasmic or internal membranes of a variety of...; cd06174",,,,
NWMN_0049,7137.794323,7233.638999,7041.949647,0.973500288,-0.038746689,0.952616464,0.97879485,no,,,,,
NWMN_0050,2096.647379,1185.270029,3008.024728,2.537839188,1.343600654,0.006509701,0.03115357,yes,,,,,
NWMN_0051,71.74934276,48.51808022,94.98060529,1.957633213,0.969110483,0.026715897,0.094463651,no,,,,,
NWMN_0052,336.6957588,206.3743103,467.0172074,2.26296193,1.178212314,0.011181377,0.047662216,yes,,,,,
NWMN_0053,1473.654873,1929.016355,1018.293392,0.527882197,-0.921712083,0.063471298,0.174763437,no,,,,,
NWMN_0054,13393.00761,19774.52465,7011.490579,0.35457189,-1.495849929,0.063240746,0.174496378,no,,,,,
NWMN_0055,205009.2656,127445.038,282573.4933,2.21721848,1.148750937,0.071439288,0.190092524,no,,,,,
NWMN_0056,4554.771169,5744.044768,3365.49757,0.585910749,-0.771247178,0.520064077,0.695103547,no,,,,,
NWMN_0057,12839.80326,15495.79325,10183.81327,0.657198577,-0.605598739,0.570364862,0.734372357,no,,,,,
NWMN_0058,4581.296561,710.8883242,8451.704797,11.8889346,3.571547532,4.32E-09,1.48E-07,yes,sirB; siderophore compound ABC transporter permease SirB,,,,
NWMN_0059,21697.8376,1199.610478,42196.06473,35.17480507,5.136470523,8.14E-16,6.08E-14,yes,sirA siderophore binding protein,,,,
NWMN_0060,4276.23512,138.7252827,8413.744958,60.65040774,5.922445439,8.08E-20,9.18E-18,yes,siderophore biosynthesis protein SbnA / CBS_like: This subgroup includes Cystathionine beta-synthase (CBS) and Cysteine synthase. CBS is a unique heme-containing enzyme that catalyzes a pyridoxal 5'-phosphate (PLP)-dependent condensation of serine and homocysteine to give cystathionine; cd01561,,,,
NWMN_0061,4769.180203,117.111612,9421.248794,80.44675191,6.329962267,2.07E-18,2.16E-16,yes,"ornithine cyclodeaminase / 2,3-diaminopropionate biosynthesis protein SbnB",,,,
NWMN_0062,8560.464265,208.4080896,16912.52044,81.1509787,6.342536589,4.23E-17,4.09E-15,yes,"sbnC / Siderophore synthetase component [Secondary metabolites biosynthesis, transport, and catabolism",,,,
NWMN_0063,3843.298021,182.8178812,7503.778161,41.0450997,5.359138086,1.49E-11,8.14E-10,yes,sbn family,,,,
NWMN_0064,6317.890508,258.1401742,12377.64084,47.94930073,5.583437871,4.35E-11,2.07E-09,yes,sbnE Siderophore biosynthisis,,,,
NWMN_0065,7633.997889,312.0292835,14955.96649,47.93129134,5.582895904,1.21E-10,5.35E-09,yes,sbnF,,,,
NWMN_0066,3455.529512,173.5645436,6737.49448,38.81838042,5.278668022,1.63E-09,6.24E-08,yes,sbn family,,,,
NWMN_0067,6363.85203,391.9514336,12335.75263,31.47265597,4.976027027,8.55E-09,2.45E-07,yes,sbn family,,,,
NWMN_0068,4686.99748,409.7567341,8964.238226,21.87697597,4.451341425,3.62E-08,8.36E-07,yes,hypothetical; Stage 0 sporulation protein J (antagonist of Soj) containing ParB-like nuclease domain ,,,,
NWMN_0069,62.62787907,79.79470754,45.46105059,0.569725136,-0.811662037,0.140749517,0.296595554,no,,,,,
NWMN_0070,287.6424509,296.8857264,278.3991754,0.937731762,-0.092752796,0.814060007,0.903273113,no,,,,,
NWMN_0071,20004.91611,29983.63434,10026.19789,0.334389013,-1.58040065,0.056818606,0.161037385,no,,,,,
NWMN_0072,104.4509618,160.3221216,48.57980201,0.303013717,-1.72254499,0.000160615,0.001484167,yes,NAD dependent epimerase/dehydratase family protein,,,,
NWMN_0073,83.26429042,108.3400262,58.18855468,0.537091939,-0.896759027,0.055353091,0.158420184,no,,,,,
NWMN_0074,160.8022373,181.316182,140.2882926,0.773721855,-0.37011307,0.472547554,0.655048679,no,,,,,
NWMN_0075,211.5900173,220.8139917,202.366043,0.916454802,-0.125864364,0.920792619,0.96017392,no,,,,,
NWMN_0076,709.7403107,789.1334153,630.347206,0.798784076,-0.324122522,0.596163307,0.751459104,no,,,,,
NWMN_0077,7204.178881,6167.307923,8241.049839,1.336247507,0.418187257,0.233598519,0.41807735,no,,,,,
NWMN_0078,6171.019032,10063.44139,2278.596671,0.226423207,-2.142906263,0.00154498,0.009607404,yes,hypothetical protein,,,,
NWMN_0079,1276.421564,1854.097834,698.745295,0.376865386,-1.407878803,0.008643845,0.03955581,yes,hypothetical protein / Winged helix-turn-helix (WHTH) DNA-binding domain of the GntR family of transcriptional regulators; cd07377,,,,
NWMN_0080,103.1600109,113.0246008,93.29542108,0.825443492,-0.276758641,0.498465578,0.677674587,no,,,,,
NWMN_0081,985.5098917,1474.015575,497.0042086,0.33717704,-1.568421795,0.000924829,0.006309602,yes,hypothetical protein / Major Facilitator Superfamily; pfam07690,,,,
NWMN_0082,3809.486811,4913.215386,2705.758236,0.550710283,-0.860634547,0.091920701,0.220537576,no,,,,,
NWMN_0083,10225.26393,14013.80693,6436.72094,0.459312803,-1.122451097,0.043934814,0.134270958,no,,,,,
NWMN_0084,175.4376677,193.2931441,157.5821914,0.815249771,-0.294685965,0.62137322,0.770963069,no,,,,,
NWMN_0085,126.5395613,137.2231371,115.8559856,0.844289003,-0.244191173,0.599837952,0.753953744,no,,,,,
NWMN_0086,117.6110464,90.6632975,144.5587952,1.594457727,0.673065848,0.225959574,0.408552381,no,,,,,
NWMN_0087,283.1731341,129.2574253,437.0888429,3.381537593,1.757679392,0.000541534,0.004054526,yes,ABC-type uncharacterized transport system; pfam09822,,,,
NWMN_0088,1056.38976,1168.8792,943.9003199,0.807525978,-0.308419422,0.671387319,0.809568558,no,,,,,
NWMN_0089,4.12551179,5.308707507,2.942316073,0.554243395,-0.851408422,0.602143701,0.756079525,no,,,,,
NWMN_0090,26.31363563,33.51260859,19.11466268,0.570372271,-0.810024248,0.471857016,0.655048679,no,,,,,
NWMN_0091,28.54603082,31.80848044,25.2835812,0.794869194,-0.33121063,0.796104358,0.893993884,no,,,,,
NWMN_0092,22.88834816,30.10027885,15.67641748,0.520806387,-0.941180953,0.689737802,0.820187722,no,,,,,
NWMN_0093,47.83788245,65.56140082,30.11436409,0.459330699,-1.122394886,0.406520717,0.600813707,no,,,,,
NWMN_0094,803.7636399,555.3059016,1052.221378,1.894849983,0.922083633,0.04818395,0.144220689,no,,,,,
NWMN_0095,359.4979581,351.4073416,367.5885747,1.046046941,0.064947593,0.916451187,0.957675889,no,,,,,
NWMN_0096,484.8033947,479.9738013,489.6329881,1.020124404,0.0287451,0.851655805,0.924159725,no,,,,,
NWMN_0097,493.9021354,455.6093655,532.1949053,1.168094744,0.224157296,0.972231019,0.986571101,no,,,,,
NWMN_0098,665.3944611,568.5371648,762.2517574,1.34072459,0.423012911,0.880968832,0.938461257,no,,,,,
NWMN_0099,410.7545695,357.49704,464.0120989,1.297946688,0.376231127,0.836013055,0.914783129,no,,,,,
NWMN_0100,352.3784245,302.7024424,402.0544066,1.328216592,0.409490426,0.839781509,0.916986662,no,,,,,
NWMN_0101,293.6042623,240.9215787,346.286946,1.437343005,0.523404385,0.744210363,0.858552618,no,,,,,
NWMN_0102,144.3339593,127.9389285,160.7289901,1.25629464,0.32917486,0.896725058,0.947966488,no,,,,,
NWMN_0103,283.6493423,273.2269717,294.0717129,1.076290935,0.10606811,0.901338898,0.949730521,no,,,,,
NWMN_0104,283.5574536,277.5071367,289.6077705,1.043604766,0.061575438,0.887342385,0.942147766,no,,,,,
NWMN_0105,136.2829377,116.6269188,155.9389567,1.337075165,0.41908057,0.514975571,0.690767827,no,,,,,
NWMN_0106,473.0663641,435.0945562,511.038172,1.174545084,0.232102091,0.845139307,0.920524616,no,,,,,
NWMN_0107,285.3476089,255.5298806,315.1653373,1.233379582,0.302616868,0.795425277,0.893993884,no,,,,,
NWMN_0108,368.3281865,353.8920067,382.7643664,1.081585227,0.113147352,0.969352062,0.985187451,no,,,,,
NWMN_0109,611.7433377,644.3064864,579.1801889,0.898920314,-0.153734864,0.543176259,0.713584497,no,,,,,
NWMN_0110,872.3436963,1035.078264,709.6091286,0.685560844,-0.544643382,0.256647101,0.446186876,no,,,,,
NWMN_0111,1597.968806,435.5250281,2760.412584,6.338126183,2.664056382,4.74E-08,1.06E-06,yes,IsdI,,,,
NWMN_0112,1618.174133,347.7754729,2888.572793,8.305855408,3.054128757,2.93E-09,1.08E-07,yes,hypothetical protein,,,,
NWMN_0113,19158.54854,35902.71851,2414.378562,0.067247792,-3.894369281,1.33E-06,2.10E-05,yes,aldehyde dehydrogenase-like protein,,,,
NWMN_0114,1594.580192,2483.956596,705.2037884,0.283903426,-1.816527834,0.000474192,0.003633618,yes,CzcD / Co/Zn/Cd efflux system component [Inorganic ion transport and metabolism,,,,
NWMN_0115,132.9054995,123.3874532,142.4235459,1.154278999,0.206991978,0.698698015,0.827605581,no,,,,,
NWMN_0116,37.21440037,31.80757534,42.62122541,1.339970902,0.422201672,0.256944717,0.446407278,no,,,,,
NWMN_0117,102.805742,121.0492321,84.56225184,0.69857735,-0.517508227,0.420708514,0.611748107,no,,,,,
NWMN_0118,54.93525319,57.04257029,52.8279361,0.926114231,-0.110737942,0.888966244,0.942340282,no,,,,,
NWMN_0119,426.7887964,530.3200492,323.2575437,0.609551806,-0.714179254,0.102342808,0.23855643,no,,,,,
NWMN_0120,5403.932449,8693.878478,2113.986419,0.243158036,-2.040033821,0.119976216,0.26522661,no,,,,,
NWMN_0121,224.2502152,257.4333658,191.0670646,0.74220008,-0.430119939,0.365576255,0.559935963,no,,,,,
NWMN_0122,6329.486374,6496.564467,6162.40828,0.94856417,-0.07618272,0.766310075,0.874396605,no,,,,,
NWMN_0123,43243.83053,50486.77263,36000.88842,0.713075654,-0.487872946,0.293053586,0.485265539,no,,,,,
NWMN_0124,5448.156383,7504.714641,3391.598125,0.451928992,-1.145831983,0.025166741,0.090829688,no,,,,,
NWMN_0125,1723.874811,2733.361662,714.3879612,0.261358741,-1.935896687,0.100786665,0.236405346,no,,,,,
NWMN_0126,252.2105599,228.3167309,276.1043889,1.209304232,0.274177238,0.51523402,0.690767827,no,,,,,
NWMN_0127,353.4984881,304.0110738,402.9859024,1.325563235,0.406605494,0.274692851,0.465127815,no,,,,,
NWMN_0128,228.1560597,202.1545233,254.1575962,1.257244172,0.330264866,0.4049157,0.599502803,no,,,,,
NWMN_0129,319.609169,275.1635863,364.0547516,1.323048433,0.403865875,0.307294865,0.500808681,no,,,,,
NWMN_0130,4948.252788,5862.486418,4034.019159,0.688107208,-0.53929474,0.453198249,0.637393724,no,,,,,
NWMN_0131,2801.151231,3617.050232,1985.25223,0.548859458,-0.865491317,0.116549053,0.2598487,no,,,,,
NWMN_0132,12293.049,16472.72136,8113.376633,0.492534078,-1.021704547,0.059711911,0.167052702,no,,,,,
NWMN_0133,9285.946815,13889.92924,4681.964386,0.337076187,-1.568853385,0.298646835,0.491061684,no,,,,,
NWMN_0134,6523.46767,12468.59651,578.3388322,0.046383635,-4.430240297,3.35E-07,5.91E-06,yes,hypothetical protein,,,,
NWMN_0135,4580.919919,8721.313205,440.526633,0.050511502,-4.307244236,7.59E-05,0.000783889,yes,N-acetylmuramic acid-6-phosphate etherase / Predicted sugar phosphate isomerase [General function prediction only] / catalyzes the cleavage of the lactyl ether moiety of N-acetylmuramic acid-6-phosphate (MurNAc-6-P) to form N-acetylglucosamine-6-phosphate (GlcNAc-6-P) and lactate involved in MurNAc dissimilation pathway,,,,
NWMN_0136,6781.517999,12756.37894,806.6570536,0.063235583,-3.983119601,4.79E-13,2.91E-11,yes,sucrose-specific PTS transporter IIBC component protein / PTS system N-acetylmuramic acid transporter subunits EIIBC; Reviewed; PRK09586,,,,
NWMN_0137,4511.507765,8510.167429,512.8481014,0.060262986,-4.052584028,3.53E-13,2.20E-11,yes,"RpiR / Transcriptional regulators RpiR-like protein. RpiR contains a SIS (Sugar ISomerase) domain, which is found in many phosphosugar isomerases and phosphosugar binding proteins. In E. coli, rpiR negatively regulates the expression of rpiB gene. Both rpiB and rpiA are ribose phosphate...; cd05013",,,,
NWMN_0138,125.7643346,193.6395363,57.88913296,0.298953065,-1.742009091,0.000256245,0.002195302,yes,hypothetical protein,,,,
NWMN_0139,5518.514329,5572.92967,5464.098987,0.980471549,-0.028452327,0.87780923,0.937737798,no,,,,,
NWMN_0140,1208.647839,1513.016347,904.2793303,0.597666596,-0.742587182,0.116660458,0.259875342,no,,,,,
NWMN_0141,853.6849654,1001.577113,705.792818,0.704681456,-0.504956846,0.197956628,0.378668133,no,,,,,
NWMN_0142,1187.796141,1519.726682,855.8655991,0.563170739,-0.828355717,0.074080822,0.194741637,no,,,,,
NWMN_0143,358.8987058,141.8129426,575.984469,4.061578995,2.022040704,0.000949521,0.006430228,yes,,,,,
NWMN_0144,158.9211673,118.1861814,199.6561533,1.689335851,0.756456174,0.128635067,0.278017726,no,,,,,
NWMN_0145,69.37454061,46.3294811,92.41960011,1.994833482,0.996268323,0.080540787,0.20430117,no,,,,,
NWMN_0146,198.9618041,127.5385904,270.3850178,2.120025138,1.084081372,0.051771363,0.151657592,no,,,,,
NWMN_0147,661.4061674,728.5200655,594.2922694,0.815752781,-0.293796094,0.748861259,0.86277534,no,,,,,
NWMN_0148,346.4260329,543.0100239,149.8420419,0.275947101,-1.857536366,7.11E-05,0.000741221,yes,,,,,
NWMN_0149,2349.201418,2992.972489,1705.430346,0.569811568,-0.811443184,0.326328122,0.519302913,no,,,,,
NWMN_0150,922.2983036,376.3745036,1468.222104,3.900960584,1.963829421,1.34E-05,0.000165734,yes,,,,,
NWMN_0151,1345.468589,2015.598813,675.3383639,0.335055944,-1.577526092,0.002655747,0.015085798,yes,,,,,
NWMN_0152,1721.392135,2678.791282,763.9929879,0.28520064,-1.809950876,0.000173024,0.001580807,yes,Maltose-binding periplasmic proteins/domains [Carbohydrate transport and metabolism,,,,
NWMN_0153,2861.120966,4757.057625,965.1843058,0.202895231,-2.30119314,2.01E-05,0.000241861,yes,,,,,
NWMN_0154,2105.55311,3369.487394,841.6188263,0.249776517,-2.001290246,0.00010196,0.00101301,yes,,,,,
NWMN_0155,3331.46747,5062.068193,1600.866747,0.316247566,-1.660873717,0.000696783,0.005032958,yes,,,,,
NWMN_0156,3927.320044,6102.011829,1752.628259,0.28722138,-1.79976495,0.000728792,0.005188917,yes,,,,,
NWMN_0157,1412.152905,1658.676297,1165.629512,0.702746832,-0.508923051,0.863415729,0.929969209,no,,,,,
NWMN_0158,2625.564501,4948.12592,303.0030833,0.061235928,-4.029477835,0.000161531,0.001486204,yes,uhpT; sugar phosphate antiporter; cytoplasmic membrane protein that functions as a monomer; catalyzes the active transport of sugar-phosphates such as glucose-6-phosphate with the obligatory exchange of inorganic phosphate or organophosphate ,,,,
NWMN_0159,812.1753023,656.1674013,968.1832033,1.475512501,0.561216144,0.243110437,0.429928758,no,,,,,
NWMN_0160,1267.010308,680.3543258,1853.666291,2.72456016,1.446023347,0.010242155,0.044604584,yes,,,,,
NWMN_0161,631.2294605,427.290082,835.168839,1.954571085,0.966852054,0.034064164,0.11168088,no,,,,,
NWMN_0162,46877.9591,24058.58144,69697.33675,2.896984468,1.53455195,0.012352646,0.05147921,no,,,,,
NWMN_0163,23407.51138,14221.26513,32593.75763,2.291902818,1.196545872,0.036130064,0.116122827,no,,,,,
NWMN_0164,1389.981776,550.2706305,2229.692922,4.051993324,2.018631797,4.62E-05,0.000499289,yes,,,,,
NWMN_0165,3442.849105,3025.936844,3859.761365,1.275559129,0.351129777,0.376013452,0.57090247,no,,,,,
NWMN_0166,3222.800305,3179.959512,3265.641097,1.026944238,0.038357847,1,1,no,,,,,
NWMN_0167,337.7846954,571.2513701,104.3180207,0.182613165,-2.453137319,1.32E-07,2.63E-06,yes,,,,,
NWMN_0168,457.4576694,799.1121623,115.8031765,0.144914797,-2.786723185,0.000193825,0.00172855,yes,,,,,
NWMN_0169,239.8927308,450.3718982,29.4135634,0.0653095,-3.936563331,0.000155267,0.001454169,yes,fadD; acyl-CoA dehydrogenase FadD-like protein,,,,
NWMN_0170,342.6256407,639.6261047,45.62517672,0.071331011,-3.809326768,0.000139325,0.001323844,yes,fadE;  acyl-CoA synthetase FadE-like protein,,,,
NWMN_0171,2607.052922,5124.959133,89.14671021,0.017394619,-5.845215131,6.76E-08,1.41E-06,yes,acetyl-CoA/acetoacetyl-CoA transferase,,,,
NWMN_0172,2397.762111,1363.692806,3431.831417,2.516572209,1.331459994,0.004114357,0.021806928,yes,,,,,
NWMN_0173,900.8089963,668.1611054,1133.456887,1.696382621,0.762461608,0.116887103,0.260003384,no,,,,,
NWMN_0174,146.631939,67.28204877,225.9818293,3.358723959,1.747913231,0.000553485,0.004108686,yes,,,,,
NWMN_0175,6207.320101,3183.099438,9231.540764,2.900173539,1.53613923,0.003156566,0.017394093,yes,,,,,
NWMN_0176,35151.75243,58695.8567,11607.64817,0.197759243,-2.338182972,0.119967008,0.26522661,no,,,,,
NWMN_0177,4018.766713,3469.036394,4568.497032,1.316935458,0.397184642,0.216052642,0.397567291,no,,,,,
NWMN_0178,1487.953535,975.8437853,2000.063285,2.049573216,1.035323528,0.021162643,0.079451129,no,,,,,
NWMN_0179,111.6800494,106.205596,117.1545027,1.103091618,0.14155262,0.740552771,0.856223182,no,,,,,
NWMN_0180,9.41134746,8.378265405,10.44442951,1.246610009,0.318010202,0.605696939,0.759810899,no,,,,,
NWMN_0181,9.129285587,8.624911957,9.633659217,1.116957398,0.159574161,0.957767309,0.980924758,no,,,,,
NWMN_0182,53.71022464,44.76841022,62.65203905,1.399469821,0.484880376,0.328436846,0.521705458,no,,,,,
NWMN_0183,84.60199986,88.36816487,80.83583485,0.91476195,-0.128531737,0.829180828,0.909733915,no,,,,,
NWMN_0184,234.7015293,283.2952004,186.1078581,0.656939679,-0.606167187,0.313135586,0.506436469,no,,,,,
NWMN_0185,3230.953075,3700.894947,2761.011202,0.746038794,-0.422677443,0.219727089,0.401501317,no,,,,,
NWMN_0186,3890.192748,3880.872759,3899.512736,1.004803037,0.006912731,0.702079888,0.829355672,no,,,,,
NWMN_0187,6481.112977,7177.434024,5784.791929,0.805969363,-0.311203096,0.507156507,0.683797706,no,,,,,
NWMN_0188,3502.286228,1450.351758,5554.220699,3.829568014,1.937181661,0.000470775,0.003618042,yes,,,,,
NWMN_0189,3695.59047,2300.258199,5090.922742,2.213196217,1.146131363,0.032269241,0.107852628,no,,,,,
NWMN_0190,5958.130508,3244.814894,8671.446122,2.672400862,1.41813643,0.014984277,0.059960053,no,,,,,
NWMN_0191,12939.64285,6828.303821,19050.98189,2.790002083,1.480266199,0.013775925,0.056257448,no,,,,,
NWMN_0192,18405.04692,11538.99829,25271.09555,2.190059737,1.130970222,0.056822223,0.161037385,no,,,,,
NWMN_0193,1790.916861,928.9439827,2652.889739,2.855812393,1.513901208,0.001027616,0.006902728,yes,,,,,
NWMN_0194,8796.293113,3761.123348,13831.46288,3.677481858,1.878718224,0.000507916,0.003861462,yes,,,,,
NWMN_0195,3573.629891,1278.733182,5868.5266,4.589328472,2.198283068,2.92E-05,0.000334282,yes,,,,,
NWMN_0196,2815.375554,2817.106131,2813.644978,0.99877138,-0.001773614,0.765206991,0.873901166,no,,,,,
NWMN_0197,10809.74602,16905.04847,4714.443571,0.27887785,-1.842294742,0.277782453,0.467683988,no,,,,,
NWMN_0198,8733.083761,16110.5519,1355.615622,0.08414458,-3.570985845,0.004280313,0.022640603,yes,"hypothetical; transcriptional regulator, GntR family protein",,,,
NWMN_0199,1437.098345,1980.60889,893.5877996,0.451168226,-1.148262626,0.019774312,0.074884461,no,,,,,
NWMN_0200,2690.711133,3437.128307,1944.293959,0.565673954,-0.821957351,0.106209696,0.244125319,no,,,,,
NWMN_0201,2746.166198,479.756287,5012.576109,10.4481718,3.385178619,2.43E-10,1.04E-08,yes,"hypothetical protein; S-adenosylmethionine-dependent methyltransferases (SAM or AdoMet-MTase), class I; AdoMet-MTases are enzymes that use S-adenosyl-L-methionine (SAM or AdoMet) as a substrate for methyltransfer, creating the product S-adenosyl-L-homocysteine (AdoHcy). There are at least five structurally distinct families of AdoMet-MTases, class I being the largest and most diverse. Within this class enzymes can be classified by different substrate specificities (small molecules, lipids, nucleic acids, etc.) and different target atoms for methylation (nitrogen, oxygen, carbon, sulfur, etc.).",,,,
NWMN_0202,1592.980559,1755.90915,1430.051967,0.814422527,-0.296150627,0.539851001,0.710645171,no,,,,,
NWMN_0203,754.3501845,864.0697783,644.6305907,0.746039969,-0.42267517,0.268639468,0.459320547,no,,,,,
NWMN_0204,738.5256133,807.7880462,669.2631804,0.82851335,-0.271403151,0.529233954,0.703289266,no,,,,,
NWMN_0205,2296.260185,3196.556035,1395.964336,0.436708858,-1.1952563,0.032907396,0.109120591,no,,,,,
NWMN_0206,62.96254841,82.75071811,43.17437871,0.52174023,-0.938596415,0.577633684,0.737619918,no,,,,,
NWMN_0207,402.5833031,113.594785,691.5718212,6.0880596,2.605982482,2.27E-08,5.84E-07,yes,,,,,
NWMN_0208,1679.54309,610.5784963,2748.507685,4.501481302,2.170399827,8.84E-06,0.000112647,yes,,,,,
NWMN_0209,673.7282487,199.2538138,1148.202684,5.762512956,2.526698089,5.31E-07,8.89E-06,yes,,,,,
NWMN_0210,2444.149784,1125.822146,3762.477422,3.341982068,1.740703992,0.000256227,0.002195302,yes,,,,,
NWMN_0211,185.6903902,212.6315963,158.7491841,0.746592637,-0.421606815,0.416967952,0.609046779,no,,,,,
