Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,molecule,begin,end,strand,id,locus,description
BAF66345.1,3.530918912,0.692838769,0.739386801,0.937045087,0.348735366,NA,AP009351.1,94488,95180,+,NWMN_0073,NWMN_0073,conserved hypothetical protein
BAF66346.1,12.34428543,0.539227281,0.468203401,1.1516945,0.249446633,4.76E-01,AP009351.1,95390,96556,+,NWMN_0074,NWMN_0074,glycosyl transferase%2C group 1 family protein
BAF66347.1,33.23735949,0.363555875,0.301602095,1.205415617,0.228042896,4.54E-01,AP009351.1,96537,97775,+,NWMN_0075,NWMN_0075,conserved hypothetical protein
BAF66348.1,186.7595903,0.350893272,0.265068669,1.323782528,0.185575281,4.07E-01,AP009351.1,97765,99195,+,NWMN_0076,NWMN_0076,polysaccharide extrusion protein
BAF66349.1,1205.663585,-0.669277206,0.352685232,-1.897661556,0.05774068,2.03E-01,AP009351.1,99463,100062,+,sodM,NWMN_0077,superoxide dismutase
BAF66350.1,794.0228789,-1.109824934,0.296580677,-3.742067565,0.000182512,2.46E-03,AP009351.1,100430,101155,+,NWMN_0078,NWMN_0078,conserved hypothetical protein
BAF66351.1,206.3077959,0.104359912,0.239808304,0.435180561,0.663431371,8.15E-01,AP009351.1,101347,102102,-,NWMN_0079,NWMN_0079,conserved hypothetical protein
BAF66352.1,12.21127486,-0.691132547,0.526249725,-1.313316691,0.189076257,4.11E-01,AP009351.1,102338,103045,+,pnp,NWMN_0080,purine nucleoside phosphorylase
BAF66353.1,192.225193,0.08211966,0.294742748,0.278614692,0.780540537,8.81E-01,AP009351.1,103052,104404,+,NWMN_0081,NWMN_0081,conserved hypothetical protein
BAF66354.1,895.1325823,-0.819732467,0.331223659,-2.474860851,0.01332881,7.57E-02,AP009351.1,104485,105147,+,dra,NWMN_0082,deoxyribose-phosphate aldolase
BAF66355.1,1911.377788,-0.615287109,0.181641045,-3.387379259,0.000705638,7.59E-03,AP009351.1,105175,106353,+,NWMN_0083,NWMN_0083,phosphopentomutase
BAF66356.1,25.2423569,0.629526121,0.490833391,1.282565799,0.199644239,4.23E-01,AP009351.1,106484,107299,-,NWMN_0084,NWMN_0084,phosphonates ABC transporter permease
BAF66357.1,7.9737237,0.266159514,0.511730586,0.520116485,0.602982389,7.72E-01,AP009351.1,107296,108096,-,NWMN_0085,NWMN_0085,phosphonates ABC transporter permease
BAF66358.1,7.645158828,-1.05881572,0.579644278,-1.826664663,0.067750204,2.24E-01,AP009351.1,108098,108871,-,NWMN_0086,NWMN_0086,ABC transport ATP-binding protein
BAF66359.1,30.19862419,-0.829969148,0.475045376,-1.747136567,0.080613652,2.50E-01,AP009351.1,110270,111814,+,NWMN_0087,NWMN_0087,conserved hypothetical protein
BAF66360.1,207.6913887,-0.252969728,0.26178153,-0.966339098,0.333874528,5.63E-01,AP009351.1,111859,113400,+,NWMN_0088,NWMN_0088,conserved hypothetical protein
BAF66361.1,3.650410426,0.876314433,0.744432314,1.177157973,0.239132459,NA,AP009351.1,113484,113687,+,NWMN_0089,NWMN_0089,conserved hypothetical protein
BAF66362.1,7.297710648,0.078314993,0.595175493,0.131583027,0.895314111,9.46E-01,AP009351.1,114000,114545,+,NWMN_0090,NWMN_0090,conserved hypothetical protein
BAF66363.1,10.5328176,0.382180613,0.47797219,0.799587551,0.423949803,6.42E-01,AP009351.1,114530,114820,+,NWMN_0091,NWMN_0091,conserved hypothetical protein
BAF66364.1,3.563785374,-0.033960646,0.809671027,-0.041943759,0.966543533,NA,AP009351.1,114976,115191,+,NWMN_0092,NWMN_0092,conserved hypothetical protein
BAF66365.1,64.70307811,0.452540488,0.448015339,1.010100434,0.312447174,5.42E-01,AP009351.1,115844,116065,+,NWMN_0093,NWMN_0093,truncated IS200 transposase family protein
BAF66366.1,199.8576447,-1.712146636,0.250014215,-6.848197161,7.48E-12,4.85E-10,AP009351.1,116515,119124,+,adhE,NWMN_0094,iron-containing alcohol dehydrogenase
BAF66367.1,1.516888116,0.982722083,0.944428199,1.040547162,0.298085765,NA,AP009351.1,119469,120137,+,capA,NWMN_0095,capsular polysaccharide synthesis enzyme CapA
BAF66368.1,3.239515606,0.204019493,0.783566341,0.260372967,0.794576093,NA,AP009351.1,120144,120839,+,capB,NWMN_0096,capsular polysaccharide synthesis enzyme CapB
BAF66369.1,2.28066227,0.323777194,0.94549795,0.342440927,0.732019093,NA,AP009351.1,120842,121606,+,capC,NWMN_0097,capsular polysaccharide synthesis enzyme CapC
BAF66370.1,7.806834558,0.199987,0.625508222,0.319719219,0.749181189,8.66E-01,AP009351.1,121614,123449,+,capD,NWMN_0098,polysaccharide biosynthesis protein CapD
BAF66371.1,4.4929381,0.457959122,0.763570046,0.59976046,0.548665888,NA,AP009351.1,123439,124467,+,capE,NWMN_0099,capsular polysaccharide biosynthesis protein CapE
BAF66372.1,5.383704181,1.666446806,0.716212274,2.326749858,0.019978583,NA,AP009351.1,124480,125589,+,capF,NWMN_0100,capsular polysaccharide synthesis enzyme CapF
BAF66373.1,5.724583562,0.338649521,0.661292664,0.512102341,0.608579386,NA,AP009351.1,125593,126717,+,capG,NWMN_0101,capsular polysaccharide synthesis enzyme CapG
BAF66374.1,3.787656365,1.161192442,0.770273203,1.507507255,0.131680686,NA,AP009351.1,126720,127346,+,capH,NWMN_0102,capsular polysaccharide synthesis enzyme O-acetyl transferase CapH
BAF66375.1,10.2537929,0.27393705,0.527324091,0.519485179,0.603422446,7.72E-01,AP009351.1,127351,128460,+,capI,NWMN_0103,capsular polysaccharide biosynthesis protein CapI
BAF66376.1,18.28314743,-0.934236132,0.470469818,-1.985751469,0.047060927,1.79E-01,AP009351.1,128474,129640,+,capJ,NWMN_0104,capsular polysaccharide biosynthesis protein CapJ
BAF66377.1,13.53430238,0.156711082,0.494555266,0.316872739,0.751340168,8.67E-01,AP009351.1,129654,130838,+,capK,NWMN_0105,capsular polysaccharide biosynthesis protein CapK
BAF66378.1,28.99316764,0.047816239,0.486097247,0.098367639,0.92164037,9.58E-01,AP009351.1,130839,132044,+,capL,NWMN_0106,capsular polysaccharide biosynthesis protein glycosyltransferase CapL
BAF66379.1,18.52462002,-0.070440542,0.495307312,-0.142215834,0.886909525,9.42E-01,AP009351.1,132055,132612,+,capM,NWMN_0107,capsular polysaccharide biosynthesis protein CapM
BAF66380.1,21.8513808,0.03669035,0.48337475,0.075904564,0.939495026,9.66E-01,AP009351.1,132612,133499,+,capN,NWMN_0108,capsular polysaccharide biosynthesis protein CapN
BAF66381.1,44.59408047,-0.170096529,0.452628432,-0.375797269,0.707067619,8.41E-01,AP009351.1,133553,134815,+,capO,NWMN_0109,capsular polysaccharide biosynthesis protein CapO
BAF66382.1,113.6608907,0.150540294,0.214595415,0.701507505,0.482986352,6.90E-01,AP009351.1,134862,136037,+,capP,NWMN_0110,capsular polysaccharide biosynthesis protein CapP
BAF66383.1,86.22566196,-0.166007346,0.337190056,-0.492325746,0.622489082,7.85E-01,AP009351.1,136102,136428,-,NWMN_0111,NWMN_0111,conserved hypothetical protein
BAF66384.1,174.2913354,0.212510216,0.275593109,0.771101343,0.440646864,6.55E-01,AP009351.1,136435,136818,-,NWMN_0112,NWMN_0112,conserved hypothetical protein
BAF66385.1,812.9224341,2.418594598,0.273672651,8.837545827,9.78E-19,1.11E-16,AP009351.1,137245,138732,+,aldA,NWMN_0113,aldehyde dehydrogenase homolog
BAF66386.1,218.3445382,-0.711750153,0.223152643,-3.18952151,0.001425085,1.40E-02,AP009351.1,139273,140337,+,NWMN_0114,NWMN_0114,cation efflux family protein
BAF66387.1,818.4558994,0.036844549,0.213651724,0.172451447,0.863082629,9.30E-01,AP009351.1,140781,141293,+,NWMN_0115,NWMN_0115,conserved hypothetical protein
BAF66388.1,58.95477247,-0.565730707,0.499990374,-1.131483197,0.257851772,4.86E-01,AP009351.1,141635,142375,+,NWMN_0116,NWMN_0116,conserved hypothetical protein
BAF66389.1,48.62862295,-0.165639344,0.345937716,-0.47881262,0.632071938,7.91E-01,AP009351.1,142389,143363,+,NWMN_0117,NWMN_0117,conserved hypothetical protein
BAF66390.1,97.31559031,-0.366784096,0.313613533,-1.169541674,0.242185461,4.69E-01,AP009351.1,143360,144121,+,NWMN_0118,NWMN_0118,conserved hypothetical protein
BAF66391.1,125.4955343,-0.467814558,0.328655755,-1.423418126,0.154614981,3.68E-01,AP009351.1,144134,145165,+,NWMN_0119,NWMN_0119,conserved hypothetical protein
BAF66392.1,635.5745749,1.074176159,0.350594448,3.06387099,0.002184931,1.98E-02,AP009351.1,145382,145741,+,NWMN_0120,NWMN_0120,conserved hypothetical protein
BAF66393.1,41.2245248,0.181419776,0.292639659,0.619942547,0.535295613,7.29E-01,AP009351.1,145914,146939,+,NWMN_0121,NWMN_0121,D-isomer specific 2-hydroxyacid dehydrogenase
BAF66394.1,150.8207533,-0.615364917,0.2866976,-2.146390193,0.031841861,1.39E-01,AP009351.1,147325,148575,+,NWMN_0122,NWMN_0122,conserved hypothetical protein
BAF66395.1,1691.119212,-0.81033511,0.372775421,-2.173789002,0.029720985,1.32E-01,AP009351.1,149028,156197,+,NWMN_0123,NWMN_0123,conserved hypothetical protein
BAF66396.1,283.7235693,-0.287169665,0.205380689,-1.398231094,0.162043682,3.79E-01,AP009351.1,156210,156854,+,NWMN_0124,NWMN_0124,4%27-phosphopantetheinyl transferase superfamily protein
BAF66397.1,306.8866153,-1.824830887,0.334822754,-5.450140007,5.03E-08,1.60E-06,AP009351.1,157182,157676,-,NWMN_0125,NWMN_0125,conserved hypothetical protein
BAF66398.1,42.67100968,-0.428792161,0.320979261,-1.335887434,0.181586069,4.03E-01,AP009351.1,157931,158695,-,NWMN_0126,NWMN_0126,acetylglutamate kinase
BAF66399.1,49.24019618,-0.63464961,0.327912651,-1.935422769,0.052938437,1.94E-01,AP009351.1,158711,159952,-,argJ,NWMN_0127,arginine biosynthesis bifunctional protein
BAF66400.1,29.13089219,-0.950558539,0.35066363,-2.710741744,0.006713289,4.60E-02,AP009351.1,159964,160998,-,argC,NWMN_0128,N-acetyl-gamma-glutamyl-phosphate reductase
BAF66401.1,30.08012013,-0.273589145,0.323915203,-0.844631999,0.398316337,6.21E-01,AP009351.1,161034,162218,-,argD,NWMN_0129,ornithine aminotransferase
BAF66402.1,511.3355323,-0.134406227,0.342162866,-0.392813598,0.69445716,8.33E-01,AP009351.1,162471,163826,-,NWMN_0130,NWMN_0130,branched-chain amino acid transport system II carrier protein
BAF66403.1,182.0580704,-0.015911004,0.281082334,-0.056606205,0.954858891,9.75E-01,AP009351.1,164102,164659,-,entB,NWMN_0131,isochorismatase
BAF66404.1,462.998124,-0.083404355,0.276141681,-0.302034646,0.762625652,8.75E-01,AP009351.1,164726,166366,-,ipdC,NWMN_0132,indole-3-pyruvate decarboxylase
BAF66405.1,4911.060375,0.302772348,0.283431887,1.068236715,0.285413747,5.16E-01,AP009351.1,166640,168685,-,glcA,NWMN_0133,glucose-specific PTS transporter protein IIABC component
BAF66406.1,43.85304979,1.785503436,0.380508447,4.692414721,2.70E-06,6.19E-05,AP009351.1,169253,170326,+,NWMN_0134,NWMN_0134,conserved hypothetical protein
BAF66407.1,48.74680013,1.420328335,0.519912097,2.731862452,0.006297743,4.43E-02,AP009351.1,170323,171222,+,NWMN_0135,NWMN_0135,conserved hypothetical protein
BAF66408.1,206.2090565,0.850197232,0.2446039,3.475812252,0.000509309,5.69E-03,AP009351.1,171234,172688,+,NWMN_0136,NWMN_0136,sucrose-specific PTS transporter IIBC component protein
BAF66409.1,134.0963447,0.669940431,0.262344168,2.553669995,0.010659423,6.48E-02,AP009351.1,172688,173566,+,NWMN_0137,NWMN_0137,RpiR family transcriptional regulator
BAF66410.1,7.796470215,-0.147127886,0.555010913,-0.265090078,0.790940071,8.87E-01,AP009351.1,173760,174041,-,NWMN_0138,NWMN_0138,conserved hypothetical protein
BAF66411.1,332.9046788,-0.987298909,0.240908451,-4.098232777,4.16E-05,6.94E-04,AP009351.1,174254,177043,+,hsdR,NWMN_0139,type-I restriction-modification system restriction endonuclease subunit
BAF66412.1,174.4768404,-0.08396425,0.226573309,-0.370583148,0.710948036,8.44E-01,AP009351.1,177248,178090,+,NWMN_0140,NWMN_0140,conserved hypothetical protein
BAF66413.1,71.56013997,-0.756293088,0.305941256,-2.472020599,0.013435177,7.61E-02,AP009351.1,178092,179015,+,NWMN_0141,NWMN_0141,conserved hypothetical protein
BAF66414.1,116.3384032,-0.863620138,0.25407574,-3.399065724,0.000676165,7.32E-03,AP009351.1,179002,180114,+,NWMN_0142,NWMN_0142,conserved hypothetical protein
BAF66415.1,461.5952564,-0.989660483,0.257158202,-3.848450005,0.000118868,1.65E-03,AP009351.1,180379,181971,-,NWMN_0143,NWMN_0143,oligopeptide ABC transporter%2C ATP-binding protein
BAF66416.1,30.29280564,-0.720229984,0.327829058,-2.196968103,0.028022724,1.27E-01,AP009351.1,181928,183406,+,NWMN_0144,NWMN_0144,oligopeptide ABC transporter%2C permease protein
BAF66417.1,18.27782492,-1.482596283,0.494061236,-3.000835069,0.002692404,2.32E-02,AP009351.1,183412,184575,+,NWMN_0145,NWMN_0145,peptide ABC transporter%2C permease protein
BAF66418.1,36.01343311,-0.676436749,0.313677129,-2.156474563,0.031046628,1.37E-01,AP009351.1,184592,186367,+,rlp,NWMN_0146,RGD-containing lipoprotein
BAF66419.1,197.5177971,-0.02155633,0.248856311,-0.086621594,0.930972301,9.63E-01,AP009351.1,186405,188411,+,NWMN_0147,NWMN_0147,conserved hypothetical protein
BAF66420.1,117.647449,-0.151930323,0.318347894,-0.4772462,0.633186816,7.91E-01,AP009351.1,188709,189482,-,NWMN_0148,NWMN_0148,conserved hypothetical protein
BAF66421.1,3551.825497,0.221852293,0.41441572,0.535337543,0.59241647,7.65E-01,AP009351.1,189672,190370,-,NWMN_0149,NWMN_0149,acyl carrier protein phosphodiesterase
BAF66422.1,471.8727344,0.802434341,0.417758431,1.920809446,0.054755735,1.97E-01,AP009351.1,190507,191085,+,NWMN_0150,NWMN_0150,conserved hypothetical protein
BAF66423.1,60.27508102,2.940960425,0.393622387,7.471527327,7.93E-14,6.37E-12,AP009351.1,191468,192565,+,NWMN_0151,NWMN_0151,conserved hypothetical protein
BAF66424.1,65.30394946,1.612002145,0.488252823,3.301572604,0.000961444,9.94E-03,AP009351.1,192578,193849,+,NWMN_0152,NWMN_0152,conserved hypothetical protein
BAF66425.1,80.77227842,1.691545421,0.297343066,5.688867887,1.28E-08,4.66E-07,AP009351.1,193852,195120,+,NWMN_0153,NWMN_0153,conserved hypothetical protein
BAF66426.1,44.7882385,0.887854463,0.389785633,2.27780192,0.022738382,1.11E-01,AP009351.1,195044,195961,+,NWMN_0154,NWMN_0154,conserved hypothetical protein
BAF66427.1,71.49511165,0.504327342,0.42481798,1.18716101,0.235164117,4.62E-01,AP009351.1,196032,197111,+,NWMN_0155,NWMN_0155,conserved hypothetical protein
